MSTRG.2	Zm00001d027230
MSTRG.165	Zm00001d027510
MSTRG.166	Zm00001d027511
MSTRG.167	Zm00001d027513
MSTRG.168	Zm00001d027514
MSTRG.170	Zm00001d027515
MSTRG.172	Zm00001d027519
MSTRG.174	Zm00001d027518
MSTRG.175	Zm00001d027520
MSTRG.176	Zm00001d027516
MSTRG.177	Zm00001d027517
MSTRG.179	Zm00001d027523
MSTRG.181	Zm00001d027522
MSTRG.182	Zm00001d027524
MSTRG.182	Zm00001d027525
MSTRG.184	Zm00001d027527
MSTRG.186	Zm00001d027528
MSTRG.187	Zm00001d027530
MSTRG.188	Zm00001d027531
MSTRG.189	Zm00001d027532
MSTRG.190	Zm00001d027533
MSTRG.191	Zm00001d027534
MSTRG.192	Zm00001d027535
MSTRG.193	Zm00001d027540
MSTRG.194	Zm00001d027536
MSTRG.196	Zm00001d027537
MSTRG.198	Zm00001d027538
MSTRG.199	Zm00001d027539
MSTRG.200	Zm00001d027541
MSTRG.201	Zm00001d027542
MSTRG.202	Zm00001d027543
MSTRG.203	Zm00001d027548
MSTRG.204	Zm00001d027556
MSTRG.206	Zm00001d027544
MSTRG.207	Zm00001d027545
MSTRG.208	Zm00001d027546
MSTRG.210	Zm00001d027549
MSTRG.211	Zm00001d027550
MSTRG.212	Zm00001d027551
MSTRG.214	Zm00001d027554
MSTRG.214	Zm00001d027578
MSTRG.214	Zm00001d027580
MSTRG.214	Zm00001d027581
MSTRG.215	Zm00001d027555
MSTRG.216	Zm00001d027557
MSTRG.217	Zm00001d027558
MSTRG.218	Zm00001d027559
MSTRG.219	Zm00001d027560
MSTRG.220	Zm00001d027561
MSTRG.221	Zm00001d027562
MSTRG.222	Zm00001d027563
MSTRG.222	Zm00001d027564
MSTRG.223	Zm00001d027565
MSTRG.227	Zm00001d027566
MSTRG.228	Zm00001d027567
MSTRG.229	Zm00001d027568
MSTRG.230	Zm00001d027569
MSTRG.231	Zm00001d027570
MSTRG.232	Zm00001d027571
MSTRG.234	Zm00001d027572
MSTRG.235	Zm00001d027573
MSTRG.237	Zm00001d027576
MSTRG.238	Zm00001d027577
MSTRG.239	Zm00001d027582
MSTRG.240	Zm00001d027583
MSTRG.241	Zm00001d027585
MSTRG.241	Zm00001d027595
MSTRG.246	Zm00001d027593
MSTRG.247	Zm00001d027587
MSTRG.248	Zm00001d027601
MSTRG.249	Zm00001d027588
MSTRG.250	Zm00001d027589
MSTRG.251	Zm00001d027590
MSTRG.252	Zm00001d027591
MSTRG.253	Zm00001d027592
MSTRG.256	Zm00001d027596
MSTRG.257	Zm00001d027597
MSTRG.258	Zm00001d027598
MSTRG.259	Zm00001d027599
MSTRG.261	Zm00001d027603
MSTRG.262	Zm00001d027604
MSTRG.263	Zm00001d027605
MSTRG.265	Zm00001d027606
MSTRG.266	Zm00001d027607
MSTRG.267	Zm00001d027612
MSTRG.268	Zm00001d027608
MSTRG.269	Zm00001d027609
MSTRG.270	Zm00001d027619
MSTRG.271	Zm00001d027610
MSTRG.272	Zm00001d027611
MSTRG.273	Zm00001d027613
MSTRG.274	Zm00001d027625
MSTRG.275	Zm00001d027615
MSTRG.276	Zm00001d027616
MSTRG.277	Zm00001d027618
MSTRG.280	Zm00001d027620
MSTRG.281	Zm00001d027621
MSTRG.282	Zm00001d027622
MSTRG.283	Zm00001d027623
MSTRG.285	Zm00001d027630
MSTRG.286	Zm00001d027624
MSTRG.289	Zm00001d027627
MSTRG.291	Zm00001d027626
MSTRG.293	Zm00001d027628
MSTRG.296	Zm00001d027631
MSTRG.297	Zm00001d027633
MSTRG.298	Zm00001d027634
MSTRG.302	Zm00001d027652
MSTRG.303	Zm00001d027646
MSTRG.304	Zm00001d027647
MSTRG.305	Zm00001d027648
MSTRG.306	Zm00001d027649
MSTRG.307	Zm00001d027650
MSTRG.308	Zm00001d027651
MSTRG.309	Zm00001d027659
MSTRG.312	Zm00001d027655
MSTRG.313	Zm00001d027656
MSTRG.315	Zm00001d027657
MSTRG.316	Zm00001d027658
MSTRG.317	Zm00001d027662
MSTRG.319	Zm00001d027665
MSTRG.320	Zm00001d027666
MSTRG.322	Zm00001d027760
MSTRG.323	Zm00001d027761
MSTRG.324	Zm00001d027762
MSTRG.326	Zm00001d027312
MSTRG.327	Zm00001d027313
MSTRG.329	Zm00001d027314
MSTRG.330	Zm00001d027315
MSTRG.331	Zm00001d027316
MSTRG.332	Zm00001d027317
MSTRG.332	Zm00001d027323
MSTRG.333	Zm00001d027318
MSTRG.334	Zm00001d027326
MSTRG.335	Zm00001d027319
MSTRG.336	Zm00001d027320
MSTRG.336	Zm00001d027332
MSTRG.337	Zm00001d027321
MSTRG.338	Zm00001d027322
MSTRG.339	Zm00001d027333
MSTRG.339	Zm00001d027334
MSTRG.340	Zm00001d027324
MSTRG.341	Zm00001d027325
MSTRG.342	Zm00001d027327
MSTRG.343	Zm00001d027330
MSTRG.344	Zm00001d027329
MSTRG.347	Zm00001d027346
MSTRG.348	Zm00001d027335
MSTRG.349	Zm00001d027349
MSTRG.351	Zm00001d027337
MSTRG.352	Zm00001d027338
MSTRG.352	Zm00001d027348
MSTRG.353	Zm00001d027339
MSTRG.354	Zm00001d027340
MSTRG.355	Zm00001d027342
MSTRG.357	Zm00001d027341
MSTRG.359	Zm00001d027347
MSTRG.360	Zm00001d027343
MSTRG.361	Zm00001d027344
MSTRG.362	Zm00001d027345
MSTRG.363	Zm00001d027350
MSTRG.364	Zm00001d027351
MSTRG.364	Zm00001d027352
MSTRG.365	Zm00001d027353
MSTRG.366	Zm00001d027354
MSTRG.369	Zm00001d027355
MSTRG.370	Zm00001d027370
MSTRG.371	Zm00001d027359
MSTRG.373	Zm00001d027360
MSTRG.374	Zm00001d027361
MSTRG.375	Zm00001d027362
MSTRG.375	Zm00001d027365
MSTRG.375	Zm00001d027367
MSTRG.376	Zm00001d027363
MSTRG.377	Zm00001d027366
MSTRG.378	Zm00001d027368
MSTRG.379	Zm00001d027369
MSTRG.382	Zm00001d027387
MSTRG.382	Zm00001d027389
MSTRG.383	Zm00001d027371
MSTRG.384	Zm00001d027373
MSTRG.385	Zm00001d027374
MSTRG.386	Zm00001d027375
MSTRG.387	Zm00001d027376
MSTRG.388	Zm00001d027377
MSTRG.389	Zm00001d027378
MSTRG.390	Zm00001d027379
MSTRG.391	Zm00001d027380
MSTRG.392	Zm00001d027381
MSTRG.394	Zm00001d027382
MSTRG.395	Zm00001d027383
MSTRG.396	Zm00001d027384
MSTRG.397	Zm00001d027385
MSTRG.399	Zm00001d027386
MSTRG.401	Zm00001d027388
MSTRG.402	Zm00001d027391
MSTRG.403	Zm00001d027392
MSTRG.404	Zm00001d027394
MSTRG.405	Zm00001d027393
MSTRG.406	Zm00001d027395
MSTRG.407	Zm00001d027396
MSTRG.408	Zm00001d027397
MSTRG.409	Zm00001d027399
MSTRG.410	Zm00001d027400
MSTRG.411	Zm00001d027402
MSTRG.412	Zm00001d027401
MSTRG.414	Zm00001d027411
MSTRG.416	Zm00001d027403
MSTRG.418	Zm00001d027404
MSTRG.419	Zm00001d027405
MSTRG.420	Zm00001d027406
MSTRG.421	Zm00001d027407
MSTRG.422	Zm00001d027408
MSTRG.424	Zm00001d027409
MSTRG.428	Zm00001d027412
MSTRG.429	Zm00001d027414
MSTRG.430	Zm00001d027419
MSTRG.431	Zm00001d027415
MSTRG.432	Zm00001d027416
MSTRG.433	Zm00001d027417
MSTRG.434	Zm00001d027430
MSTRG.436	Zm00001d027421
MSTRG.436	Zm00001d027422
MSTRG.436	Zm00001d027423
MSTRG.438	Zm00001d027424
MSTRG.439	Zm00001d027425
MSTRG.442	Zm00001d027429
MSTRG.442	Zm00001d027434
MSTRG.443	Zm00001d027427
MSTRG.444	Zm00001d027428
MSTRG.445	Zm00001d027431
MSTRG.446	Zm00001d027437
MSTRG.447	Zm00001d027435
MSTRG.449	Zm00001d027439
MSTRG.451	Zm00001d027455
MSTRG.452	Zm00001d027436
MSTRG.453	Zm00001d027442
MSTRG.455	Zm00001d027440
MSTRG.457	Zm00001d027441
MSTRG.458	Zm00001d027443
MSTRG.459	Zm00001d027444
MSTRG.460	Zm00001d027445
MSTRG.461	Zm00001d027446
MSTRG.462	Zm00001d027447
MSTRG.463	Zm00001d027448
MSTRG.465	Zm00001d027449
MSTRG.467	Zm00001d027450
MSTRG.467	Zm00001d027451
MSTRG.470	Zm00001d027453
MSTRG.471	Zm00001d027454
MSTRG.472	Zm00001d027466
MSTRG.473	Zm00001d027456
MSTRG.473	Zm00001d027481
MSTRG.475	Zm00001d027457
MSTRG.476	Zm00001d027458
MSTRG.477	Zm00001d027459
MSTRG.478	Zm00001d027460
MSTRG.480	Zm00001d027461
MSTRG.481	Zm00001d027462
MSTRG.483	Zm00001d027463
MSTRG.484	Zm00001d027464
MSTRG.485	Zm00001d027465
MSTRG.486	Zm00001d027467
MSTRG.487	Zm00001d027468
MSTRG.489	Zm00001d027472
MSTRG.489	Zm00001d027474
MSTRG.489	Zm00001d027475
MSTRG.490	Zm00001d027471
MSTRG.491	Zm00001d027469
MSTRG.492	Zm00001d027470
MSTRG.494	Zm00001d027477
MSTRG.495	Zm00001d027488
MSTRG.496	Zm00001d027476
MSTRG.498	Zm00001d027478
MSTRG.499	Zm00001d027479
MSTRG.500	Zm00001d027480
MSTRG.501	Zm00001d027483
MSTRG.502	Zm00001d027484
MSTRG.503	Zm00001d027486
MSTRG.504	Zm00001d027485
MSTRG.505	Zm00001d027487
MSTRG.508	Zm00001d027489
MSTRG.510	Zm00001d027490
MSTRG.511	Zm00001d027492
MSTRG.512	Zm00001d027493
MSTRG.513	Zm00001d027494
MSTRG.514	Zm00001d027495
MSTRG.515	Zm00001d027496
MSTRG.516	Zm00001d027497
MSTRG.517	Zm00001d027498
MSTRG.519	Zm00001d027763
MSTRG.520	Zm00001d027764
MSTRG.521	Zm00001d027766
MSTRG.522	Zm00001d027767
MSTRG.523	Zm00001d027768
MSTRG.525	Zm00001d027769
MSTRG.526	Zm00001d027771
MSTRG.527	Zm00001d027772
MSTRG.528	Zm00001d027773
MSTRG.529	Zm00001d027775
MSTRG.530	Zm00001d027714
MSTRG.531	Zm00001d027715
MSTRG.535	Zm00001d027722
MSTRG.535	Zm00001d027728
MSTRG.535	Zm00001d027741
MSTRG.536	Zm00001d027717
MSTRG.537	Zm00001d027718
MSTRG.538	Zm00001d027727
MSTRG.538	Zm00001d027743
MSTRG.539	Zm00001d027719
MSTRG.540	Zm00001d027723
MSTRG.541	Zm00001d027720
MSTRG.542	Zm00001d027721
MSTRG.543	Zm00001d027739
MSTRG.544	Zm00001d027746
MSTRG.545	Zm00001d027729
MSTRG.546	Zm00001d027725
MSTRG.547	Zm00001d027726
MSTRG.549	Zm00001d027730
MSTRG.550	Zm00001d027731
MSTRG.551	Zm00001d027732
MSTRG.552	Zm00001d027733
MSTRG.553	Zm00001d027749
MSTRG.554	Zm00001d027734
MSTRG.555	Zm00001d027735
MSTRG.556	Zm00001d027736
MSTRG.557	Zm00001d027737
MSTRG.558	Zm00001d027738
MSTRG.559	Zm00001d027740
MSTRG.561	Zm00001d027742
MSTRG.562	Zm00001d027744
MSTRG.563	Zm00001d027745
MSTRG.564	Zm00001d027747
MSTRG.565	Zm00001d027748
MSTRG.568	Zm00001d027751
MSTRG.569	Zm00001d027752
MSTRG.570	Zm00001d027753
MSTRG.571	Zm00001d027754
MSTRG.572	Zm00001d027755
MSTRG.574	Zm00001d027756
MSTRG.577	Zm00001d027757
MSTRG.579	Zm00001d027758
MSTRG.582	Zm00001d027759
MSTRG.583	Zm00001d027789
MSTRG.584	Zm00001d027790
MSTRG.586	Zm00001d027791
MSTRG.587	Zm00001d027792
MSTRG.588	Zm00001d027794
MSTRG.589	Zm00001d027795
MSTRG.590	Zm00001d027788
MSTRG.591	Zm00001d027803
MSTRG.592	Zm00001d027797
MSTRG.593	Zm00001d027798
MSTRG.594	Zm00001d027799
MSTRG.596	Zm00001d027807
MSTRG.597	Zm00001d027800
MSTRG.598	Zm00001d027801
MSTRG.599	Zm00001d027802
MSTRG.600	Zm00001d027804
MSTRG.602	Zm00001d027805
MSTRG.604	Zm00001d027808
MSTRG.606	Zm00001d027809
MSTRG.608	Zm00001d027810
MSTRG.609	Zm00001d027812
MSTRG.611	Zm00001d027811
MSTRG.612	Zm00001d027815
MSTRG.613	Zm00001d027813
MSTRG.615	Zm00001d027816
MSTRG.616	Zm00001d027824
MSTRG.618	Zm00001d027819
MSTRG.619	Zm00001d027820
MSTRG.620	Zm00001d027826
MSTRG.621	Zm00001d027821
MSTRG.622	Zm00001d027823
MSTRG.623	Zm00001d027827
MSTRG.625	Zm00001d027872
MSTRG.626	Zm00001d027869
MSTRG.628	Zm00001d027870
MSTRG.629	Zm00001d027871
MSTRG.630	Zm00001d027873
MSTRG.632	Zm00001d027875
MSTRG.633	Zm00001d027874
MSTRG.634	Zm00001d027841
MSTRG.635	Zm00001d027829
MSTRG.636	Zm00001d027830
MSTRG.637	Zm00001d027831
MSTRG.638	Zm00001d027832
MSTRG.639	Zm00001d027833
MSTRG.640	Zm00001d027834
MSTRG.641	Zm00001d027835
MSTRG.642	Zm00001d027837
MSTRG.643	Zm00001d027838
MSTRG.644	Zm00001d027839
MSTRG.646	Zm00001d027840
MSTRG.647	Zm00001d027842
MSTRG.648	Zm00001d027846
MSTRG.649	Zm00001d027847
MSTRG.650	Zm00001d027843
MSTRG.652	Zm00001d027844
MSTRG.653	Zm00001d027845
MSTRG.655	Zm00001d027854
MSTRG.656	Zm00001d027848
MSTRG.657	Zm00001d027849
MSTRG.658	Zm00001d027850
MSTRG.659	Zm00001d027851
MSTRG.660	Zm00001d027852
MSTRG.661	Zm00001d027856
MSTRG.663	Zm00001d027853
MSTRG.664	Zm00001d027861
MSTRG.666	Zm00001d027855
MSTRG.667	Zm00001d027857
MSTRG.668	Zm00001d027858
MSTRG.669	Zm00001d027859
MSTRG.671	Zm00001d027860
MSTRG.673	Zm00001d027862
MSTRG.674	Zm00001d027863
MSTRG.676	Zm00001d027864
MSTRG.678	Zm00001d027866
MSTRG.679	Zm00001d027867
MSTRG.680	Zm00001d027868
MSTRG.681	Zm00001d027882
MSTRG.682	Zm00001d027876
MSTRG.684	Zm00001d027877
MSTRG.685	Zm00001d027878
MSTRG.687	Zm00001d027879
MSTRG.689	Zm00001d027880
MSTRG.690	Zm00001d027881
MSTRG.692	Zm00001d027884
MSTRG.693	Zm00001d027883
MSTRG.694	Zm00001d027885
MSTRG.695	Zm00001d027886
MSTRG.697	Zm00001d027887
MSTRG.698	Zm00001d027888
MSTRG.699	Zm00001d027889
MSTRG.700	Zm00001d027890
MSTRG.702	Zm00001d027892
MSTRG.704	Zm00001d027893
MSTRG.705	Zm00001d027894
MSTRG.706	Zm00001d027895
MSTRG.708	Zm00001d027896
MSTRG.710	Zm00001d027897
MSTRG.712	Zm00001d027904
MSTRG.713	Zm00001d027899
MSTRG.714	Zm00001d027898
MSTRG.715	Zm00001d027901
MSTRG.716	Zm00001d027900
MSTRG.717	Zm00001d027902
MSTRG.718	Zm00001d027903
MSTRG.720	Zm00001d027907
MSTRG.721	Zm00001d027908
MSTRG.722	Zm00001d027909
MSTRG.723	Zm00001d027910
MSTRG.724	Zm00001d027911
MSTRG.726	Zm00001d027912
MSTRG.727	Zm00001d027914
MSTRG.729	Zm00001d027915
MSTRG.731	Zm00001d027916
MSTRG.736	Zm00001d027974
MSTRG.737	Zm00001d027973
MSTRG.738	Zm00001d027975
MSTRG.739	Zm00001d027929
MSTRG.740	Zm00001d027922
MSTRG.741	Zm00001d027918
MSTRG.742	Zm00001d027919
MSTRG.743	Zm00001d027920
MSTRG.744	Zm00001d027921
MSTRG.747	Zm00001d027924
MSTRG.748	Zm00001d027925
MSTRG.750	Zm00001d027927
MSTRG.752	Zm00001d027928
MSTRG.756	Zm00001d027930
MSTRG.757	Zm00001d027931
MSTRG.758	Zm00001d027932
MSTRG.759	Zm00001d027933
MSTRG.760	Zm00001d027934
MSTRG.760	Zm00001d027938
MSTRG.761	Zm00001d027935
MSTRG.762	Zm00001d027936
MSTRG.763	Zm00001d027937
MSTRG.764	Zm00001d027939
MSTRG.765	Zm00001d027940
MSTRG.766	Zm00001d027941
MSTRG.769	Zm00001d027943
MSTRG.770	Zm00001d027944
MSTRG.771	Zm00001d027945
MSTRG.772	Zm00001d027946
MSTRG.773	Zm00001d027947
MSTRG.774	Zm00001d027948
MSTRG.775	Zm00001d027949
MSTRG.776	Zm00001d027950
MSTRG.777	Zm00001d027951
MSTRG.778	Zm00001d027965
MSTRG.779	Zm00001d027954
MSTRG.780	Zm00001d027955
MSTRG.780	Zm00001d027957
MSTRG.781	Zm00001d027956
MSTRG.782	Zm00001d027957
MSTRG.783	Zm00001d027958
MSTRG.784	Zm00001d027966
MSTRG.785	Zm00001d027960
MSTRG.786	Zm00001d027962
MSTRG.788	Zm00001d027963
MSTRG.789	Zm00001d027967
MSTRG.790	Zm00001d027968
MSTRG.791	Zm00001d027969
MSTRG.792	Zm00001d027971
MSTRG.795	Zm00001d028035
MSTRG.799	Zm00001d028040
MSTRG.800	Zm00001d028043
MSTRG.801	Zm00001d028039
MSTRG.802	Zm00001d028036
MSTRG.803	Zm00001d028038
MSTRG.806	Zm00001d027976
MSTRG.809	Zm00001d027977
MSTRG.810	Zm00001d027988
MSTRG.811	Zm00001d027978
MSTRG.812	Zm00001d027982
MSTRG.813	Zm00001d027979
MSTRG.814	Zm00001d027980
MSTRG.815	Zm00001d027981
MSTRG.817	Zm00001d027983
MSTRG.818	Zm00001d027987
MSTRG.819	Zm00001d027984
MSTRG.820	Zm00001d027992
MSTRG.821	Zm00001d027986
MSTRG.823	Zm00001d027989
MSTRG.824	Zm00001d027990
MSTRG.825	Zm00001d027996
MSTRG.826	Zm00001d027991
MSTRG.827	Zm00001d027993
MSTRG.828	Zm00001d027994
MSTRG.830	Zm00001d027995
MSTRG.832	Zm00001d027997
MSTRG.835	Zm00001d027998
MSTRG.836	Zm00001d027999
MSTRG.837	Zm00001d028000
MSTRG.839	Zm00001d028001
MSTRG.840	Zm00001d028002
MSTRG.840	Zm00001d028003
MSTRG.841	Zm00001d028004
MSTRG.842	Zm00001d028005
MSTRG.843	Zm00001d028006
MSTRG.844	Zm00001d028007
MSTRG.845	Zm00001d028008
MSTRG.845	Zm00001d028009
MSTRG.846	Zm00001d028010
MSTRG.849	Zm00001d028011
MSTRG.851	Zm00001d028012
MSTRG.852	Zm00001d028013
MSTRG.853	Zm00001d028014
MSTRG.854	Zm00001d028015
MSTRG.855	Zm00001d028016
MSTRG.858	Zm00001d028017
MSTRG.859	Zm00001d028018
MSTRG.860	Zm00001d028019
MSTRG.862	Zm00001d028020
MSTRG.863	Zm00001d028021
MSTRG.864	Zm00001d028022
MSTRG.864	Zm00001d028024
MSTRG.865	Zm00001d028025
MSTRG.867	Zm00001d028026
MSTRG.869	Zm00001d028028
MSTRG.870	Zm00001d028030
MSTRG.872	Zm00001d028031
MSTRG.873	Zm00001d028032
MSTRG.874	Zm00001d028033
MSTRG.875	Zm00001d028034
MSTRG.879	Zm00001d028089
MSTRG.880	Zm00001d028084
MSTRG.881	Zm00001d028091
MSTRG.882	Zm00001d028045
MSTRG.883	Zm00001d028046
MSTRG.884	Zm00001d028047
MSTRG.885	Zm00001d028050
MSTRG.886	Zm00001d028055
MSTRG.887	Zm00001d028051
MSTRG.888	Zm00001d028064
MSTRG.889	Zm00001d028054
MSTRG.889	Zm00001d028056
MSTRG.890	Zm00001d028053
MSTRG.891	Zm00001d028057
MSTRG.892	Zm00001d028071
MSTRG.893	Zm00001d028059
MSTRG.894	Zm00001d028060
MSTRG.895	Zm00001d028061
MSTRG.896	Zm00001d028069
MSTRG.896	Zm00001d028070
MSTRG.897	Zm00001d028062
MSTRG.897	Zm00001d028063
MSTRG.898	Zm00001d028066
MSTRG.899	Zm00001d028068
MSTRG.900	Zm00001d028072
MSTRG.901	Zm00001d028073
MSTRG.902	Zm00001d028074
MSTRG.903	Zm00001d028075
MSTRG.904	Zm00001d028076
MSTRG.905	Zm00001d028077
MSTRG.905	Zm00001d028083
MSTRG.906	Zm00001d028079
MSTRG.907	Zm00001d028080
MSTRG.908	Zm00001d028081
MSTRG.909	Zm00001d028082
MSTRG.910	Zm00001d028088
MSTRG.911	Zm00001d028085
MSTRG.913	Zm00001d028086
MSTRG.914	Zm00001d028119
MSTRG.916	Zm00001d028092
MSTRG.917	Zm00001d028093
MSTRG.918	Zm00001d028094
MSTRG.919	Zm00001d028096
MSTRG.920	Zm00001d028097
MSTRG.921	Zm00001d028109
MSTRG.922	Zm00001d028098
MSTRG.923	Zm00001d028100
MSTRG.924	Zm00001d028102
MSTRG.925	Zm00001d028103
MSTRG.926	Zm00001d028104
MSTRG.927	Zm00001d028105
MSTRG.929	Zm00001d028107
MSTRG.930	Zm00001d028108
MSTRG.931	Zm00001d028113
MSTRG.933	Zm00001d028110
MSTRG.934	Zm00001d028111
MSTRG.935	Zm00001d028112
MSTRG.936	Zm00001d028117
MSTRG.937	Zm00001d028114
MSTRG.938	Zm00001d028115
MSTRG.939	Zm00001d028116
MSTRG.940	Zm00001d028118
MSTRG.944	Zm00001d028135
MSTRG.945	Zm00001d028136
MSTRG.946	Zm00001d028137
MSTRG.947	Zm00001d028138
MSTRG.948	Zm00001d028139
MSTRG.949	Zm00001d028129
MSTRG.950	Zm00001d028125
MSTRG.952	Zm00001d028122
MSTRG.953	Zm00001d028123
MSTRG.954	Zm00001d028124
MSTRG.957	Zm00001d028126
MSTRG.958	Zm00001d028127
MSTRG.959	Zm00001d028128
MSTRG.960	Zm00001d028130
MSTRG.961	Zm00001d028141
MSTRG.962	Zm00001d028142
MSTRG.963	Zm00001d028140
MSTRG.966	Zm00001d028143
MSTRG.970	Zm00001d028144
MSTRG.974	Zm00001d028158
MSTRG.975	Zm00001d028151
MSTRG.977	Zm00001d028152
MSTRG.980	Zm00001d028153
MSTRG.981	Zm00001d028154
MSTRG.982	Zm00001d028156
MSTRG.984	Zm00001d028157
MSTRG.987	Zm00001d028168
MSTRG.988	Zm00001d028169
MSTRG.991	Zm00001d028170
MSTRG.992	Zm00001d028162
MSTRG.993	Zm00001d028159
MSTRG.994	Zm00001d028160
MSTRG.996	Zm00001d028161
MSTRG.997	Zm00001d028164
MSTRG.999	Zm00001d028165
MSTRG.1000	Zm00001d028167
MSTRG.1001	Zm00001d028171
MSTRG.1002	Zm00001d028172
MSTRG.1003	Zm00001d028173
MSTRG.1006	Zm00001d028209
MSTRG.1007	Zm00001d028210
MSTRG.1008	Zm00001d028211
MSTRG.1011	Zm00001d028213
MSTRG.1012	Zm00001d028214
MSTRG.1013	Zm00001d028174
MSTRG.1014	Zm00001d028175
MSTRG.1016	Zm00001d028176
MSTRG.1017	Zm00001d028177
MSTRG.1018	Zm00001d028182
MSTRG.1019	Zm00001d028178
MSTRG.1020	Zm00001d028179
MSTRG.1021	Zm00001d028180
MSTRG.1022	Zm00001d028181
MSTRG.1023	Zm00001d028183
MSTRG.1024	Zm00001d028184
MSTRG.1025	Zm00001d028185
MSTRG.1026	Zm00001d028186
MSTRG.1027	Zm00001d028188
MSTRG.1028	Zm00001d028187
MSTRG.1029	Zm00001d028189
MSTRG.1031	Zm00001d028191
MSTRG.1033	Zm00001d028193
MSTRG.1034	Zm00001d028194
MSTRG.1035	Zm00001d028195
MSTRG.1036	Zm00001d028196
MSTRG.1037	Zm00001d028197
MSTRG.1038	Zm00001d028198
MSTRG.1040	Zm00001d028199
MSTRG.1041	Zm00001d028200
MSTRG.1042	Zm00001d028201
MSTRG.1044	Zm00001d028202
MSTRG.1046	Zm00001d028203
MSTRG.1047	Zm00001d028204
MSTRG.1048	Zm00001d028205
MSTRG.1049	Zm00001d028206
MSTRG.1050	Zm00001d028208
MSTRG.1052	Zm00001d028207
MSTRG.1053	Zm00001d028217
MSTRG.1054	Zm00001d028216
