"","v4_gene_model","v3_gene_model","V1"
"72","Zm00001d000099","GRMZM2G013079","MSTRG.62084"
"73","Zm00001d000102","GRMZM2G022694","MSTRG.62086"
"74","Zm00001d000104","GRMZM2G460684","MSTRG.62091"
"75","Zm00001d000107","GRMZM2G120938","MSTRG.61568"
"77","Zm00001d000110","GRMZM2G139760","MSTRG.61590"
"81","Zm00001d000112","GRMZM2G123667","MSTRG.61596"
"86","Zm00001d000116","GRMZM2G060800","MSTRG.61603"
"89","Zm00001d000122","GRMZM2G069856","MSTRG.61995"
"90","Zm00001d000123","GRMZM2G069708","MSTRG.61992"
"91","Zm00001d000124","GRMZM2G016749","MSTRG.61998"
"92","Zm00001d000126","GRMZM2G154223","MSTRG.61999"
"93","Zm00001d000128","GRMZM2G085260","MSTRG.62001"
"95","Zm00001d000133","GRMZM2G157269","MSTRG.62002"
"100","Zm00001d000134","GRMZM2G320941","Zm00001d000134"
"101","Zm00001d000135","GRMZM2G158911","MSTRG.62018"
"102","Zm00001d000137","GRMZM2G420723","MSTRG.62021"
"103","Zm00001d000139","GRMZM2G463630","MSTRG.62025"
"104","Zm00001d000141","GRMZM2G017008","MSTRG.62024"
"105","Zm00001d000150","GRMZM2G136014","MSTRG.62049"
"106","Zm00001d000152","GRMZM2G435761","MSTRG.62055"
"107","Zm00001d000152","GRMZM2G136069","MSTRG.62055"
"108","Zm00001d000153","GRMZM2G090722","MSTRG.62056"
"109","Zm00001d000154","GRMZM2G313320","MSTRG.62057"
"110","Zm00001d000158","GRMZM2G016558","MSTRG.61600"
"113","Zm00001d000159","AC194133.3_FG004","MSTRG.61601"
"114","Zm00001d000160","GRMZM2G375856","Zm00001d000160"
"115","Zm00001d000161","GRMZM2G073290","MSTRG.61606"
"116","Zm00001d000162","GRMZM2G073219","MSTRG.61608"
"117","Zm00001d000163","GRMZM2G089856","Zm00001d000163"
"118","Zm00001d000164","GRMZM2G026024","MSTRG.61573"
"124","Zm00001d000165","GRMZM2G125259","MSTRG.61578"
"125","Zm00001d000166","GRMZM2G125320","MSTRG.61579"
"126","Zm00001d000168","GRMZM2G063192","MSTRG.61580"
"128","Zm00001d000169","GRMZM2G178822","MSTRG.61581"
"129","Zm00001d000174","GRMZM2G004544","Zm00001d000174"
"130","Zm00001d000175","GRMZM2G004516","MSTRG.61361"
"131","Zm00001d000176","GRMZM2G004483","MSTRG.61359"
"134","Zm00001d000178","GRMZM5G818887","MSTRG.61363"
"135","Zm00001d000179","GRMZM5G889719","MSTRG.61368"
"136","Zm00001d000180","GRMZM2G169200","MSTRG.61369"
"137","Zm00001d000181","GRMZM2G048854","MSTRG.61370"
"138","Zm00001d000183","GRMZM2G034061","MSTRG.61371"
"145","Zm00001d000184","GRMZM2G034110","MSTRG.61372"
"153","Zm00001d000193","GRMZM2G140170","MSTRG.61375"
"154","Zm00001d000194","GRMZM2G133032","MSTRG.61378"
"155","Zm00001d000195","GRMZM2G133006","MSTRG.61379"
"156","Zm00001d000197","GRMZM2G435627","MSTRG.61374"
"157","Zm00001d000199","GRMZM2G136016","MSTRG.61381"
"158","Zm00001d000204","GRMZM2G444801","MSTRG.61038"
"165","Zm00001d000205","GRMZM2G106683","MSTRG.61094"
"169","Zm00001d000213","GRMZM2G028928","MSTRG.61074"
"171","Zm00001d000214","GRMZM2G323413","MSTRG.61040"
"172","Zm00001d000216","GRMZM2G323418","MSTRG.61043"
"174","Zm00001d000217","GRMZM2G370283","MSTRG.61045"
"175","Zm00001d000219","GRMZM2G414601","MSTRG.61501"
"176","Zm00001d000220","GRMZM2G126664","MSTRG.61502"
"177","Zm00001d000222","GRMZM2G039365","MSTRG.61500"
"179","Zm00001d000223","GRMZM2G138161","MSTRG.61509"
"180","Zm00001d000224","GRMZM2G138176","MSTRG.61510"
"184","Zm00001d000229","GRMZM2G088312","MSTRG.62103"
"185","Zm00001d000230","GRMZM2G118646","MSTRG.62105"
"187","Zm00001d000233","GRMZM2G047875","Zm00001d000233"
"188","Zm00001d000240","GRMZM2G049091","MSTRG.61016"
"189","Zm00001d000241","GRMZM2G032847","MSTRG.61022"
"190","Zm00001d000242","GRMZM2G033406","MSTRG.61023"
"191","Zm00001d000301","GRMZM2G067313","MSTRG.61008"
"194","Zm00001d000302","GRMZM5G829894","MSTRG.61009"
"195","Zm00001d000304","AC233959.1_FG006","MSTRG.61012"
"196","Zm00001d000306","GRMZM2G147800","MSTRG.61014"
"197","Zm00001d001763","GRMZM2G172529","MSTRG.12880"
"201","Zm00001d001765","GRMZM2G046590","MSTRG.12879"
"202","Zm00001d001766","GRMZM5G876379","MSTRG.13571"
"203","Zm00001d001767","GRMZM2G154437","MSTRG.13575"
"206","Zm00001d001769","GRMZM2G013776","MSTRG.13576"
"207","Zm00001d001770","GRMZM2G123866","MSTRG.13577"
"208","Zm00001d001775","GRMZM2G480621","MSTRG.13581"
"209","Zm00001d001776","GRMZM2G377694","MSTRG.13582"
"211","Zm00001d001780","GRMZM2G382104","MSTRG.13585"
"217","Zm00001d001781","GRMZM2G015136","MSTRG.13588"
"219","Zm00001d001784","GRMZM2G086876","MSTRG.13587"
"221","Zm00001d001785","GRMZM2G386643","MSTRG.13590"
"224","Zm00001d001786","GRMZM2G119759","MSTRG.13594"
"230","Zm00001d001787","GRMZM2G058966","MSTRG.13586"
"232","Zm00001d001788","GRMZM2G058948","MSTRG.13595"
"233","Zm00001d001789","GRMZM2G165535","MSTRG.13598"
"234","Zm00001d001790","GRMZM2G064212","MSTRG.13600"
"235","Zm00001d001791","GRMZM2G064202","MSTRG.13601"
"236","Zm00001d001792","GRMZM2G064139","MSTRG.13603"
"237","Zm00001d001798","GRMZM2G049495","MSTRG.13608"
"241","Zm00001d001799","GRMZM2G049536","MSTRG.13610"
"245","Zm00001d001802","GRMZM2G459874","MSTRG.13611"
"247","Zm00001d001803","GRMZM2G051917","MSTRG.13599"
"249","Zm00001d001804","GRMZM2G051974","MSTRG.13613"
"251","Zm00001d001806","GRMZM2G348956","MSTRG.13614"
"254","Zm00001d001807","GRMZM2G348959","MSTRG.13616"
"259","Zm00001d001808","GRMZM2G052178","MSTRG.13618"
"260","Zm00001d001809","GRMZM2G147854","MSTRG.13607"
"261","Zm00001d001811","GRMZM2G155877","MSTRG.13621"
"262","Zm00001d001812","GRMZM2G457621","MSTRG.13623"
"264","Zm00001d001813","GRMZM2G018595","MSTRG.13625"
"268","Zm00001d001814","GRMZM2G019500","MSTRG.13627"
"272","Zm00001d001819","GRMZM2G084938","MSTRG.13634"
"273","Zm00001d001820","GRMZM2G084958","MSTRG.13635"
"274","Zm00001d001826","GRMZM2G084327","MSTRG.13620"
"275","Zm00001d001827","GRMZM2G084252","MSTRG.13639"
"276","Zm00001d001828","GRMZM2G160702","MSTRG.13641"
"279","Zm00001d001829","GRMZM2G160683","MSTRG.13642"
"280","Zm00001d001830","GRMZM2G160527","MSTRG.13643"
"281","Zm00001d001831","GRMZM2G150098","MSTRG.13645"
"282","Zm00001d001832","GRMZM2G449094","MSTRG.13646"
"283","Zm00001d001833","GRMZM2G150059","MSTRG.13647"
"284","Zm00001d001834","GRMZM2G150004","MSTRG.13648"
"285","Zm00001d001835","GRMZM2G150059","MSTRG.13650"
"286","Zm00001d001836","GRMZM2G149988","MSTRG.13651"
"287","Zm00001d001837","GRMZM2G149958","MSTRG.13652"
"288","Zm00001d001838","GRMZM2G149940","MSTRG.13653"
"291","Zm00001d001839","GRMZM2G149905","MSTRG.13655"
"292","Zm00001d001841","GRMZM2G137596","MSTRG.13657"
"293","Zm00001d001842","GRMZM2G436214","MSTRG.13659"
"294","Zm00001d001843","GRMZM2G436199","MSTRG.13660"
"295","Zm00001d001844","GRMZM2G137574","MSTRG.13661"
"298","Zm00001d001845","GRMZM2G137566","MSTRG.13662"
"299","Zm00001d001846","GRMZM2G044096","MSTRG.13664"
"302","Zm00001d001847","GRMZM2G084928","MSTRG.13665"
"307","Zm00001d001848","GRMZM2G084819","MSTRG.13666"
"314","Zm00001d001849","GRMZM2G105330","MSTRG.13668"
"315","Zm00001d001850","GRMZM2G105319","MSTRG.13669"
"316","Zm00001d001851","GRMZM2G105180","MSTRG.13670"
"317","Zm00001d001852","GRMZM2G068202","MSTRG.13663"
"318","Zm00001d001855","GRMZM2G068177","MSTRG.13673"
"319","Zm00001d001857","GRMZM2G039996","MSTRG.13677"
"320","Zm00001d001858","GRMZM2G040115","MSTRG.13672"
"324","Zm00001d001859","GRMZM2G040247","MSTRG.13679"
"326","Zm00001d001860","GRMZM2G040300","MSTRG.13680"
"328","Zm00001d001861","GRMZM2G040513","MSTRG.13681"
"329","Zm00001d001862","GRMZM2G343317","MSTRG.13674"
"331","Zm00001d001864","GRMZM2G040627","MSTRG.13683"
"333","Zm00001d001865","GRMZM2G040736","MSTRG.13684"
"334","Zm00001d001866","GRMZM2G020843","MSTRG.13685"
"335","Zm00001d001868","GRMZM2G145825","MSTRG.13686"
"336","Zm00001d001869","GRMZM2G145816","MSTRG.13687"
"342","Zm00001d001870","GRMZM2G145775","MSTRG.13686"
"344","Zm00001d001877","GRMZM2G452142","MSTRG.13675"
"348","Zm00001d001879","GRMZM2G078274","MSTRG.13695"
"349","Zm00001d001880","GRMZM2G078174","MSTRG.13696"
"350","Zm00001d001881","GRMZM2G077541","MSTRG.13687"
"351","Zm00001d001882","GRMZM2G077744","MSTRG.13697"
"352","Zm00001d001883","GRMZM2G078033","MSTRG.13698"
"353","Zm00001d001884","GRMZM2G078541","MSTRG.13700"
"354","Zm00001d001887","GRMZM2G081387","MSTRG.13703"
"355","Zm00001d001894","GRMZM2G081445","MSTRG.13713"
"357","Zm00001d001895","GRMZM2G104430","MSTRG.13714"
"358","Zm00001d001896","GRMZM2G104538","MSTRG.13715"
"361","Zm00001d001897","GRMZM2G107187","MSTRG.13716"
"362","Zm00001d001898","GRMZM2G009994","MSTRG.13718"
"363","Zm00001d001899","GRMZM2G010257","MSTRG.13719"
"366","Zm00001d001900","GRMZM2G010435","MSTRG.13712"
"367","Zm00001d001901","GRMZM2G064870","MSTRG.13721"
"369","Zm00001d001902","GRMZM2G064949","MSTRG.13722"
"370","Zm00001d001903","GRMZM2G064967","MSTRG.13723"
"371","Zm00001d001904","GRMZM2G702888","MSTRG.13724"
"372","Zm00001d001905","GRMZM2G065012","MSTRG.13725"
"373","Zm00001d001906","GRMZM2G065012","MSTRG.13726"
"374","Zm00001d001908","GRMZM2G010555","MSTRG.13727"
"375","Zm00001d001913","GRMZM2G102471","MSTRG.13734"
"377","Zm00001d001914","GRMZM2G043862","MSTRG.13735"
"378","Zm00001d001915","GRMZM2G043932","MSTRG.13736"
"379","Zm00001d001916","GRMZM2G043992","MSTRG.13738"
"380","Zm00001d001924","GRMZM2G025536","MSTRG.13748"
"381","Zm00001d001927","GRMZM2G175343","MSTRG.13753"
"382","Zm00001d001928","GRMZM2G070273","MSTRG.13731"
"383","Zm00001d001929","GRMZM2G070389","MSTRG.13754"
"385","Zm00001d001931","AC206638.3_FG007","MSTRG.13756"
"386","Zm00001d001932","GRMZM2G371944","MSTRG.13757"
"387","Zm00001d001933","GRMZM2G071034","MSTRG.13759"
"388","Zm00001d001934","GRMZM2G071330","MSTRG.13761"
"389","Zm00001d001935","GRMZM2G071333","MSTRG.13749"
"390","Zm00001d001936","GRMZM2G035370","MSTRG.13764"
"392","Zm00001d001937","GRMZM2G035325","MSTRG.13765"
"396","Zm00001d001939","GRMZM2G119773","MSTRG.13767"
"399","Zm00001d001940","GRMZM2G119916","MSTRG.13768"
"400","Zm00001d001941","GRMZM2G119941","MSTRG.13752"
"401","Zm00001d001942","AC206638.3_FG015","MSTRG.13769"
"402","Zm00001d001943","GRMZM2G018716","MSTRG.13770"
"403","Zm00001d001945","GRMZM2G034840","MSTRG.13752"
"405","Zm00001d001946","GRMZM2G047590","MSTRG.13775"
"406","Zm00001d001947","GRMZM2G047474","MSTRG.13777"
"411","Zm00001d001948","GRMZM2G047448","MSTRG.13779"
"414","Zm00001d001949","GRMZM2G047321","MSTRG.13780"
"415","Zm00001d001951","GRMZM2G047018","MSTRG.13771"
"416","Zm00001d001952","GRMZM2G046968","MSTRG.13781"
"419","Zm00001d001953","GRMZM2G348909","MSTRG.13774"
"420","Zm00001d001959","GRMZM2G062420","MSTRG.13786"
"422","Zm00001d001960","GRMZM2G062396","MSTRG.13788"
"423","Zm00001d001961","GRMZM2G365188","MSTRG.13790"
"424","Zm00001d001962","GRMZM2G062354","MSTRG.13791"
"426","Zm00001d001963","GRMZM2G365166","MSTRG.13793"
"427","Zm00001d001964","GRMZM2G365162","MSTRG.13772"
"428","Zm00001d001965","GRMZM2G365152","MSTRG.13794"
"429","Zm00001d001966","GRMZM2G061745","MSTRG.13796"
"431","Zm00001d001967","GRMZM2G061672","MSTRG.13792"
"434","Zm00001d001968","GRMZM2G029194","MSTRG.13771"
"435","Zm00001d001970","GRMZM2G324669","MSTRG.13797"
"436","Zm00001d001972","GRMZM2G009653","MSTRG.13806"
"438","Zm00001d001974","GRMZM2G150496","MSTRG.13810"
"442","Zm00001d001975","GRMZM2G150487","MSTRG.13811"
"443","Zm00001d001976","GRMZM2G150468","MSTRG.13813"
"444","Zm00001d001977","GRMZM2G321394","MSTRG.13815"
"445","Zm00001d001978","GRMZM2G017654","MSTRG.13816"
"446","Zm00001d001979","GRMZM2G173341","MSTRG.13817"
"452","Zm00001d001980","GRMZM2G087201","MSTRG.13812"
"457","Zm00001d001982","GRMZM2G388823","MSTRG.13821"
"458","Zm00001d001983","GRMZM2G044011","MSTRG.13822"
"459","Zm00001d001984","GRMZM2G042933","MSTRG.13824"
"460","Zm00001d001986","AC204017.4_FG003","MSTRG.13825"
"461","Zm00001d001987","GRMZM2G042599","MSTRG.13826"
"462","Zm00001d001988","GRMZM2G056572","MSTRG.13829"
"464","Zm00001d001989","GRMZM2G056513","MSTRG.13814"
"465","Zm00001d001990","GRMZM2G391746","MSTRG.13832"
"466","Zm00001d001993","GRMZM2G391741","MSTRG.13835"
"467","Zm00001d001994","GRMZM2G029113","MSTRG.13827"
"471","Zm00001d001995","GRMZM2G039345","MSTRG.13837"
"472","Zm00001d001996","GRMZM2G039477","MSTRG.13838"
"473","Zm00001d001997","GRMZM2G039532","MSTRG.13839"
"474","Zm00001d001999","GRMZM2G039588","MSTRG.13840"
"478","Zm00001d002000","GRMZM2G040095","MSTRG.13828"
"481","Zm00001d002001","AC210003.2_FG015","MSTRG.13836"
"482","Zm00001d002003","GRMZM2G045049","MSTRG.13841"
"483","Zm00001d002004","AC210003.2_FG004","MSTRG.13843"
"484","Zm00001d002005","GRMZM2G036297","MSTRG.13844"
"485","Zm00001d002006","GRMZM2G019404","MSTRG.13847"
"487","Zm00001d002007","GRMZM2G314171","MSTRG.13849"
"488","Zm00001d002011","GRMZM2G067463","MSTRG.13851"
"490","Zm00001d002012","GRMZM2G063328","MSTRG.13852"
"491","Zm00001d002018","GRMZM2G046733","MSTRG.13859"
"492","Zm00001d002020","GRMZM2G059740","MSTRG.13863"
"493","Zm00001d002021","GRMZM2G039961","MSTRG.13359"
"494","Zm00001d002022","GRMZM2G040017","MSTRG.13361"
"496","Zm00001d002023","GRMZM2G386362","MSTRG.13362"
"497","Zm00001d002024","GRMZM2G086489","MSTRG.13358"
"498","Zm00001d002025","GRMZM2G086573","MSTRG.13366"
"499","Zm00001d002026","GRMZM2G086577","MSTRG.13367"
"505","Zm00001d002027","GRMZM2G086801","MSTRG.13358"
"506","Zm00001d002028","GRMZM2G386525","MSTRG.13370"
"507","Zm00001d002029","GRMZM2G086920","MSTRG.13371"
"514","Zm00001d002033","GRMZM2G033430","MSTRG.13375"
"515","Zm00001d002034","GRMZM2G033219","MSTRG.13376"
"519","Zm00001d002035","GRMZM2G032977","MSTRG.13377"
"520","Zm00001d002036","GRMZM2G095308","MSTRG.13378"
"521","Zm00001d002037","GRMZM2G095305","MSTRG.13380"
"522","Zm00001d002038","GRMZM2G395114","MSTRG.13381"
"528","Zm00001d002039","GRMZM2G095209","MSTRG.13382"
"529","Zm00001d002040","GRMZM2G447847","MSTRG.13383"
"530","Zm00001d002042","GRMZM2G443885","MSTRG.13385"
"531","Zm00001d002043","GRMZM2G443889","MSTRG.13386"
"532","Zm00001d002046","GRMZM2G443903","MSTRG.13389"
"534","Zm00001d002051","GRMZM2G081886","MSTRG.13379"
"536","Zm00001d002052","GRMZM2G082032","MSTRG.13396"
"537","Zm00001d002053","GRMZM2G082097","MSTRG.13397"
"538","Zm00001d002056","GRMZM2G032209","MSTRG.13402"
"539","Zm00001d002057","GRMZM2G334514","MSTRG.13403"
"540","Zm00001d002058","GRMZM2G032022","MSTRG.13404"
"541","Zm00001d002063","GRMZM2G160523","MSTRG.13409"
"542","Zm00001d002064","GRMZM2G160585","MSTRG.13400"
"545","Zm00001d002065","GRMZM2G166281","MSTRG.13399"
"548","Zm00001d002066","GRMZM2G096546","MSTRG.13411"
"549","Zm00001d002068","GRMZM2G055844","MSTRG.13416"
"554","Zm00001d002069","GRMZM2G055752","MSTRG.13417"
"557","Zm00001d002071","GRMZM2G400961","MSTRG.13418"
"558","Zm00001d002072","GRMZM2G400965","MSTRG.13419"
"561","Zm00001d002074","GRMZM2G474039","MSTRG.13421"
"562","Zm00001d002075","GRMZM2G174784","MSTRG.13420"
"564","Zm00001d002079","GRMZM2G174917","MSTRG.13412"
"565","Zm00001d002080","GRMZM2G174926","MSTRG.13422"
"568","Zm00001d002082","GRMZM2G000093","MSTRG.13424"
"569","Zm00001d002083","GRMZM2G114008","MSTRG.13425"
"570","Zm00001d002084","GRMZM2G066169","MSTRG.13428"
"571","Zm00001d002085","GRMZM2G023163","MSTRG.13429"
"575","Zm00001d002086","GRMZM2G023239","MSTRG.13430"
"581","Zm00001d002087","GRMZM5G882708","MSTRG.13431"
"582","Zm00001d002088","GRMZM2G023921","MSTRG.13432"
"583","Zm00001d002089","GRMZM5G892758","MSTRG.13433"
"584","Zm00001d002090","GRMZM2G071163","MSTRG.13434"
"585","Zm00001d002091","GRMZM2G071119","MSTRG.13435"
"586","Zm00001d002093","GRMZM2G372102","MSTRG.13436"
"587","Zm00001d002094","GRMZM2G372074","MSTRG.13427"
"588","Zm00001d002095","GRMZM2G070881","MSTRG.13426"
"589","Zm00001d002096","GRMZM2G361388","MSTRG.13438"
"592","Zm00001d002097","GRMZM5G846550","MSTRG.13439"
"593","Zm00001d002098","GRMZM2G023071","MSTRG.13440"
"596","Zm00001d002099","GRMZM2G023037","MSTRG.13426"
"597","Zm00001d002100","GRMZM2G022836","MSTRG.13441"
"598","Zm00001d002103","GRMZM2G022563","MSTRG.13444"
"600","Zm00001d002104","GRMZM2G022192","MSTRG.13445"
"604","Zm00001d002105","GRMZM2G021635","MSTRG.13446"
"605","Zm00001d002106","GRMZM2G021475","MSTRG.13447"
"606","Zm00001d002109","GRMZM5G806157","MSTRG.13450"
"607","Zm00001d002115","GRMZM5G824964","MSTRG.13455"
"608","Zm00001d002119","GRMZM2G072850","MSTRG.13459"
"610","Zm00001d002121","GRMZM2G072820","MSTRG.13462"
"611","Zm00001d002122","GRMZM2G072264","MSTRG.13463"
"612","Zm00001d002123","AC199343.3_FG013","MSTRG.13464"
"613","Zm00001d002124","GRMZM2G352359","MSTRG.13465"
"614","Zm00001d002125","GRMZM5G866678","MSTRG.13473"
"615","Zm00001d002126","AC191113.2_FG002","MSTRG.13460"
"616","Zm00001d002130","GRMZM2G004352","MSTRG.13512"
"619","Zm00001d002135","GRMZM5G848138","MSTRG.13518"
"620","Zm00001d002136","GRMZM2G010474","MSTRG.13521"
"621","Zm00001d002137","GRMZM5G899080","MSTRG.13523"
"622","Zm00001d002139","GRMZM5G882427","MSTRG.13527"
"623","Zm00001d002140","GRMZM5G886765","MSTRG.13526"
"624","Zm00001d002141","GRMZM5G829840","MSTRG.13529"
"625","Zm00001d002141","GRMZM2G052569","MSTRG.13529"
"626","Zm00001d002143","GRMZM2G131961","MSTRG.13509"
"629","Zm00001d002144","GRMZM2G431783","MSTRG.13530"
"630","Zm00001d002145","GRMZM2G138782","MSTRG.13531"
"631","Zm00001d002146","GRMZM2G159161","MSTRG.13533"
"632","Zm00001d002147","GRMZM2G159082","MSTRG.13534"
"633","Zm00001d002149","GRMZM2G063519","MSTRG.13532"
"634","Zm00001d002150","GRMZM2G363470","MSTRG.13540"
"635","Zm00001d002153","GRMZM2G406977","MSTRG.13541"
"636","Zm00001d002154","GRMZM2G106056","MSTRG.13542"
"639","Zm00001d002155","GRMZM2G106105","MSTRG.13536"
"640","Zm00001d002156","GRMZM2G106245","MSTRG.13543"
"643","Zm00001d002157","GRMZM2G106384","MSTRG.13544"
"644","Zm00001d002159","GRMZM2G106413","MSTRG.13531"
"645","Zm00001d002161","GRMZM2G106511","MSTRG.13545"
"646","Zm00001d002163","GRMZM2G106578","MSTRG.13546"
"651","Zm00001d002167","GRMZM2G115716","MSTRG.13550"
"653","Zm00001d002169","GRMZM2G115598","MSTRG.13552"
"654","Zm00001d002172","GRMZM2G419290","MSTRG.13553"
"656","Zm00001d002174","GRMZM2G010892","MSTRG.13556"
"657","Zm00001d002175","GRMZM2G042055","MSTRG.13549"
"660","Zm00001d002176","GRMZM2G175321","MSTRG.13559"
"661","Zm00001d002179","GRMZM2G039097","MSTRG.13561"
"662","Zm00001d002184","GRMZM2G164400","MSTRG.13503"
"665","Zm00001d002185","GRMZM2G164277","MSTRG.13504"
"668","Zm00001d002187","GRMZM2G411046","MSTRG.12898"
"669","Zm00001d002190","GRMZM2G121074","MSTRG.13501"
"672","Zm00001d002191","GRMZM2G121070","MSTRG.13474"
"674","Zm00001d002192","GRMZM2G180870","MSTRG.13475"
"676","Zm00001d002199","GRMZM2G168985","MSTRG.13484"
"677","Zm00001d002200","GRMZM2G155217","MSTRG.13485"
"680","Zm00001d002208","GRMZM5G886182","MSTRG.13492"
"681","Zm00001d002212","GRMZM5G834553","MSTRG.13495"
"682","Zm00001d002216","GRMZM2G301389","MSTRG.13499"
"683","Zm00001d002234","GRMZM2G001289","MSTRG.13568"
"687","Zm00001d002235","GRMZM2G001334","MSTRG.13569"
"689","Zm00001d002238","GRMZM2G362778","MSTRG.13870"
"690","Zm00001d002239","GRMZM5G851468","MSTRG.13872"
"691","Zm00001d002240","GRMZM2G073743","MSTRG.13864"
"693","Zm00001d002241","GRMZM2G073861","MSTRG.13865"
"694","Zm00001d002243","GRMZM2G012088","MSTRG.13866"
"695","Zm00001d002244","GRMZM2G012628","MSTRG.13867"
"697","Zm00001d002246","GRMZM2G091302","MSTRG.13868"
"698","Zm00001d002247","GRMZM2G091251","MSTRG.13873"
"699","Zm00001d002249","GRMZM2G142700","MSTRG.13876"
"700","Zm00001d002250","GRMZM2G443447","MSTRG.13877"
"701","Zm00001d002252","GRMZM2G002559","MSTRG.13879"
"707","Zm00001d002253","GRMZM2G302712","MSTRG.13874"
"709","Zm00001d002254","GRMZM2G302936","MSTRG.13881"
"710","Zm00001d002256","GRMZM5G897776","MSTRG.13883"
"711","Zm00001d002257","GRMZM2G076826","MSTRG.13884"
"712","Zm00001d002258","GRMZM5G876898","MSTRG.13886"
"713","Zm00001d002259","GRMZM2G076539","MSTRG.13887"
"717","Zm00001d002260","GRMZM2G076239","MSTRG.13888"
"718","Zm00001d002261","GRMZM5G853854","MSTRG.13889"
"719","Zm00001d002262","GRMZM2G148998","MSTRG.13890"
"720","Zm00001d002266","GRMZM2G000052","MSTRG.13892"
"721","Zm00001d002267","GRMZM2G300500","MSTRG.13894"
"725","Zm00001d002268","GRMZM2G300497","MSTRG.13895"
"726","Zm00001d002269","GRMZM2G000047","MSTRG.13896"
"728","Zm00001d002271","GRMZM2G000044","MSTRG.13897"
"729","Zm00001d002272","GRMZM2G000039","MSTRG.13898"
"730","Zm00001d002276","GRMZM2G084325","MSTRG.13902"
"731","Zm00001d002277","GRMZM2G383122","MSTRG.13903"
"732","Zm00001d002278","GRMZM2G107711","MSTRG.13901"
"733","Zm00001d002279","GRMZM2G124560","MSTRG.13905"
"734","Zm00001d002281","GRMZM2G337011","MSTRG.13907"
"735","Zm00001d002282","GRMZM2G041518","MSTRG.13909"
"738","Zm00001d002283","GRMZM2G165060","MSTRG.13910"
"742","Zm00001d002284","GRMZM2G165007","MSTRG.13911"
"743","Zm00001d002285","GRMZM2G156977","MSTRG.13912"
"744","Zm00001d002286","GRMZM2G380518","MSTRG.13901"
"745","Zm00001d002287","GRMZM2G080041","MSTRG.13914"
"748","Zm00001d002288","GRMZM2G080054","MSTRG.13915"
"751","Zm00001d002290","AC188831.3_FG005","MSTRG.13916"
"752","Zm00001d002292","GRMZM2G040397","MSTRG.13920"
"753","Zm00001d002295","GRMZM2G094328","MSTRG.13924"
"756","Zm00001d002296","GRMZM2G094255","MSTRG.13925"
"757","Zm00001d002301","GRMZM2G089282","MSTRG.13927"
"758","Zm00001d002302","GRMZM2G702923","MSTRG.13928"
